Type,Name,EdgeIdx,Src,Dst,Neighbor,Importance,OrigScore,RefScore(unmasked),PredAblatedZero(unmasked),Score_Impact(unmasked),ImpactPct(unmasked),ImpactPctOfOrig(unmasked),Direction(unmasked),PredAblatedMean(unmasked),Score_Impact_Mean(unmasked),ImpactPct_Mean(unmasked),ImpactPctOfOrig_Mean(unmasked),Direction_Mean(unmasked)
Edge,#1AmericanLiveStreamerOnBIGOliveapp--karrinrachelle (e0),0,#1AmericanLiveStreamerOnBIGOliveapp,karrinrachelle,#1AmericanLiveStreamerOnBIGOliveapp,0.008836105465888977,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#CES--karrinrachelle (e1),1,#CES,karrinrachelle,#CES,0.009275485761463642,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#Celebrities--karrinrachelle (e2),2,#Celebrities,karrinrachelle,#Celebrities,0.009623957797884941,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#CelebrityPup--karrinrachelle (e3),3,#CelebrityPup,karrinrachelle,#CelebrityPup,0.009481367655098438,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#DogSuperModel--karrinrachelle (e4),4,#DogSuperModel,karrinrachelle,#DogSuperModel,0.008958633057773113,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#FOXIMOXI--karrinrachelle (e5),5,#FOXIMOXI,karrinrachelle,#FOXIMOXI,0.009407908655703068,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#Famous--karrinrachelle (e6),6,#Famous,karrinrachelle,#Famous,0.00952211208641529,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#FamousArt--karrinrachelle (e7),7,#FamousArt,karrinrachelle,#FamousArt,0.009365861304104328,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#FamousDogs--karrinrachelle (e8),8,#FamousDogs,karrinrachelle,#FamousDogs,0.009024368599057198,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#ForeverMarrin--karrinrachelle (e9),9,#ForeverMarrin,karrinrachelle,#ForeverMarrin,0.00925739761441946,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#FoxiMoxiSuperDogModelLiveStreaming--karrinrachelle (e10),10,#FoxiMoxiSuperDogModelLiveStreaming,karrinrachelle,#FoxiMoxiSuperDogModelLiveStreaming,0.009346282109618187,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLE--karrinrachelle (e11),11,#KARRINRACHELLE,karrinrachelle,#KARRINRACHELLE,0.009326247498393059,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEapparel--karrinrachelle (e12),12,#KARRINRACHELLEapparel,karrinrachelle,#KARRINRACHELLEapparel,0.00925728864967823,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEapparelLegitClothing--karrinrachelle (e13),13,#KARRINRACHELLEapparelLegitClothing,karrinrachelle,#KARRINRACHELLEapparelLegitClothing,0.009361433796584606,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEbandreviews--karrinrachelle (e14),14,#KARRINRACHELLEbandreviews,karrinrachelle,#KARRINRACHELLEbandreviews,0.009496193379163742,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEfoodblog--karrinrachelle (e15),15,#KARRINRACHELLEfoodblog,karrinrachelle,#KARRINRACHELLEfoodblog,0.009263281710445881,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEfoodcritic--karrinrachelle (e16),16,#KARRINRACHELLEfoodcritic,karrinrachelle,#KARRINRACHELLEfoodcritic,0.00957807619124651,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEfoodstagram--karrinrachelle (e17),17,#KARRINRACHELLEfoodstagram,karrinrachelle,#KARRINRACHELLEfoodstagram,0.009455978870391846,0.046037595719099045,0.046037595719099045,0.046037595719099045,0.0,0.0,0.0,Zero (0),0.046037595719099045,0.0,0.0,0.0,Zero (0)
