Type,Name,EdgeIdx,Src,Dst,Neighbor,Importance,OrigScore,RefScore(unmasked),PredAblatedZero(unmasked),Score_Impact(unmasked),ImpactPct(unmasked),ImpactPctOfOrig(unmasked),Direction(unmasked),PredAblatedMean(unmasked),Score_Impact_Mean(unmasked),ImpactPct_Mean(unmasked),ImpactPctOfOrig_Mean(unmasked),Direction_Mean(unmasked)
Edge,#1AmericanLiveStreamerOnBIGOliveapp--karrinrachelle (e0),0,#1AmericanLiveStreamerOnBIGOliveapp,karrinrachelle,#1AmericanLiveStreamerOnBIGOliveapp,0.013663209043443203,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#CES--karrinrachelle (e1),1,#CES,karrinrachelle,#CES,0.013520008884370327,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#Celebrities--karrinrachelle (e2),2,#Celebrities,karrinrachelle,#Celebrities,0.013151969760656357,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#CelebrityPup--karrinrachelle (e3),3,#CelebrityPup,karrinrachelle,#CelebrityPup,0.014038009569048882,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#DogSuperModel--karrinrachelle (e4),4,#DogSuperModel,karrinrachelle,#DogSuperModel,0.01248934119939804,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#FOXIMOXI--karrinrachelle (e5),5,#FOXIMOXI,karrinrachelle,#FOXIMOXI,0.013417406007647514,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#Famous--karrinrachelle (e6),6,#Famous,karrinrachelle,#Famous,0.013052865862846375,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#FamousArt--karrinrachelle (e7),7,#FamousArt,karrinrachelle,#FamousArt,0.013193637132644653,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#FamousDogs--karrinrachelle (e8),8,#FamousDogs,karrinrachelle,#FamousDogs,0.012512869201600552,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#ForeverMarrin--karrinrachelle (e9),9,#ForeverMarrin,karrinrachelle,#ForeverMarrin,0.01382358092814684,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#FoxiMoxiSuperDogModelLiveStreaming--karrinrachelle (e10),10,#FoxiMoxiSuperDogModelLiveStreaming,karrinrachelle,#FoxiMoxiSuperDogModelLiveStreaming,0.012422433122992516,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLE--karrinrachelle (e11),11,#KARRINRACHELLE,karrinrachelle,#KARRINRACHELLE,0.013258321210741997,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
Edge,#KARRINRACHELLEapparel--karrinrachelle (e12),12,#KARRINRACHELLEapparel,karrinrachelle,#KARRINRACHELLEapparel,0.013912194408476353,0.04515444487333298,0.04515444487333298,0.04515444487333298,0.0,0.0,0.0,Zero (0),0.04515444487333298,0.0,0.0,0.0,Zero (0)
